timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777901231.621400,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603190,3.025286,0.856710,depth,1
1777901231.632527,-0.297751,0.106070,2.665000,373.657135,258.628571,0.608350,3.019000,0.869924,depth,1
1777901231.643656,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603034,3.017500,0.856710,depth,1
1777901231.654783,-0.298294,0.106761,2.670000,373.659760,258.708038,0.607840,3.018147,0.868692,depth,1
1777901231.665910,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603240,3.027793,0.856710,depth,1
1777901231.677038,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603005,3.016032,0.856710,depth,1
1777901231.688165,-0.297735,0.106562,2.665000,373.659760,258.708038,0.607874,3.019844,0.868692,depth,1
1777901231.699293,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603041,3.017863,0.856710,depth,1
1777901231.710421,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602996,3.015597,0.856710,depth,1
1777901231.721548,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603342,3.032869,0.856710,depth,1
1777901231.732675,-0.299308,0.106815,2.681000,373.694244,258.645966,0.608708,3.061543,0.868692,depth,1
1777901231.743804,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603311,3.031316,0.856710,depth,1
1777901231.754931,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603263,3.028923,0.856710,depth,1
1777901231.766058,-0.296062,0.106097,2.654000,373.731934,258.703949,0.602935,3.012533,0.856710,depth,1
1777901231.777186,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603134,3.022490,0.856710,depth,1
1777901231.788313,-0.298294,0.106761,2.670000,373.659760,258.708038,0.608352,3.043768,0.868692,depth,1
1777901231.799441,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603244,3.027965,0.856710,depth,1
1777901231.810568,-0.301310,0.107841,2.697000,373.659760,258.708038,0.608348,3.043530,0.868692,depth,1
